Cód. Oficina,Nombre Oficina,Municipio,Departamento,Días de apertura,Dirección,Extension,Teléfono
6005,RIONEGRO,Rionegro,Santander,LUNES A VIERNES,Carrera 13 No 10-26 Barrio la Gloria,27313   45021   45143   45212   45310   45318   45372   45441,6013821400
3360,RIOSUCIO,Riosucio,Chocó,LUNES A VIERNES,Calle 5 No 7-35,24977   41105   41505   41122   41225,6013821400
1835,RIOSUCIO,Riosucio,Caldas,MARTES A SABADO,Calle 8 No.7-60 Esquina Plaza la Candelaria,26320   43038   43095   43099   43127   43162   43223   43251,6013821400
1862,RISARALDA,Risaralda,Caldas,MARTES A SABADO,CRA. 2 # 8-15,26152   43069   43103   43078   43346,6013821400
3930,RIVERA,Rivera,Huila,MARTES A VIERNES Y      SÁBADO,Carrera 7 No. 3-57 - 3-59,26272   49089   49205   49258   49364   49497,6013821400
6970,ROLDANILLO,Roldanillo,Valle del Cauca,LUNES A VIERNES,Calle 8 No. 7 - 31 Plaza Principal,26520   43025   43167   43200   43264   43269   43292   43330   43337,6013821400
6647,RONCESVALLES,Roncesvalles,Tolima,MARTES A SABADO,Carrera 2 # 5-04,49050   28500   49262   49301   49310,6013821400
2108,ROSAS,Rosas,Cauca,MARTES A SABADO,: Calle 7 # 4 – 01 Centro Administrativo Municipal,22240   46082   46155   46344,6013821400
6660,ROVIRA,Rovira,Tolima,MARTES A VIERNES Y      SÁBADO,Carrera 2a. No. 1 -78 a 1-99 Barrio Centro - Brisas de Luisa,28274   49035   49172   49241   49261   49435   49516,6013821400
6040,SABANA DE TORRES,Sabana De Torres,Santander,LUNES A VIERNES,CALLE 13 N° 10-44,27600   45102   45204   45275   45305   45311   45361   45437,6013821400
1460,SABANALARGA,Sabanalarga,Antioquia,MARTES A SABADO,CALLE 20 NRO. 19-26,24197,6013821400
1620,SABANALARGA,Sabanalarga,Atlántico,LUNES A VIERNES,Carrera 21 N° 22-09,25742   44028   44166   44187   44264   44311   44436   44445,6013821400
8648,SABANALARGA,Sabanalarga,Casanare,LUNES A VIERNES,Calle 5 No.7-10,28667   47079   47274,6013821400
4215,SABANAS DE SAN ANGEL,Sabanas De San Angel,Magdalena,LUNES A VIERNES,Carrera 3 No. 3 - 03 Plaza Principal,25740   44043   44304,6013821400
1567,SABOYA,Saboyá,Boyacá,LUNES A VIERNES,CARRERA 10 No. 6 - 45,28570   47111   47441   47519   47520,6013821400
2770,SAHAGUN,Sahagún,Córdoba,LUNES A VIERNES,Calle 14 No.11-29,24930   41083   41182   41431   41525   41564   41717   41718   41726   41727,6013821400
3967,SALADOBLANCO,Saladoblanco,Huila,MARTES A VIERNES Y      SÁBADO,Calle 2 No. 3 - 185,25955   49074   49502   49570   49573   49596,6013821400
1830,SALAMINA,Salamina,Caldas,MARTES A SABADO,CRA 7 No 4 - 73,26127   43068   43179   43224   43240   43344,6013821400
5152,SALAZAR,Salazar,Norte de Santander,MARTES A SABADO,CALLE 3 N° 3-59,27150   45086   45475,6013821400
6650,SALDAÑA,Saldaña,Tolima,MARTES A VIERNES Y      SÁBADO,Calle 12 No.14A-15,28901   28902   49008   49082   49307   49354   49386   49400   49408   49621,6013821400
5450,SALENTO,Salento,Quindio,MARTES A SABADO,CALLE 6 No 6 - 20    CARRERA 7 No. 5-21 PLAZA PRINCIPAL - CALLE 7 No. 7 -21,26540   43053   43350   43359,6013821400
1568,SAMACA,Samacá,Boyacá,MARTES A VIERNES Y      SÁBADO,CARRERA 6 No. 4 - 65,28580   47028   47265   47268   47287   47403   47489   47527,6013821400
1853,SAMANA,Samaná,Caldas,MARTES A SABADO,CARRERA 6 No. 8 - 35,26340   43039   43100   43163   43237   43252   43321,6013821400
4870,SAMANIEGO,Samaniego,Nariño,MARTES A VIERNES Y      SÁBADO,Casa Pastoral Pedro Shumacher Calle 7 Cra. 8     Pasaje Peatonal Parque Solandino,22490   46084   46347   46369   46377   46462,6013821400
6360,SAMPUES,Sampués,Sucre,LUNES A VIERNES,CRA. 20  No. 23-76 Calle Real,25680   44099   44308   44475,6013821400
3952,SAN AGUSTIN,San Agustín,Huila,LUNES A VIERNES,Cra.13 No.3-72,28196   28197   49031   49294   49340   49367   49404   49453   49500   49617   49639,6013821400
2435,SAN ALBERTO,San Alberto,Cesar,LUNES A VIERNES,CRA. 2 Nº. 6-54  Esquina   Calle 6 No. 3 -20 Parque Principal,27350   27351   45076   45119   45207   45228   45257   45414   45417   45451   45490   45498,6013821400
8103,SAN ANDRES,San Andrés,"Archipiélago de San Andrés, Providencia y Santa Catalina",LUNES A VIERNES,Avenida Libertadores No. 2 A - 21,25720   44084   44173   44206   44255   44373   44509,6013821400
6068,SAN ANDRES,San Andrés,Santander,MARTES A VIERNES Y      SÁBADO,Carrera 5 N° 8-10,27900   45083   45299   45399   45482   45503,6013821400
1462,SAN ANDRES DE CUERQUIA,San Andrés De Cuerquía,Antioquia,MARTES A SABADO,Calle 30 No. 29 – 41 Parque Principal,24199   41098   41426,6013821400
2775,SAN ANDRES DE SOTAVENTO,San Andrés De Sotavento,Córdoba,LUNES A VIERNES,CALLE 9 No.5-59     Calle 8 B No. 7 B -59 Centro,41143   24947   41434   41708,6013821400
2777,SAN ANTERO,San Antero,Córdoba,LUNES A VIERNES,Carrera.14 No.13-97,41084   24910   41297   41387,6013821400
6652,SAN ANTONIO,San Antonio,Tolima,MARTES A VIERNES Y      SÁBADO,CLL 5 KRA 6 ESQUINA BRR CENTRO,28845   49112   49308   49582,6013821400
6362,SAN BENITO ABAD,San Benito Abad,Sucre,LUNES A VIERNES,Calle 12 N°14-44 Plaza Principal,25181   44035   44202,6013821400
3156,SAN BERNARDO,San Bernardo,Cundinamarca,MARTES A SABADO,Carrera 4 No. 6-02 Palacio Municipal primer Piso,42122   21269   42262   42283   42692,6013821400
